Species ID,Species Name,Continent
13709,Anthus rufulus,Asia
117079,Pterocles bicinctus,Africa
19182,Aratinga weddellii,South America
13540,Smicrornis brevirostris,Oceania
14635,Alophoixus pallidus,Asia
8912,Cotinga nattererii,North America
60348,Lampropeltis nigra,North America
44570,Rattus fuscipes,Oceania
13470,Acanthiza nana,Oceania
717903,Masticophis lateralis,North America
13272,Pogonocichla stellata,Africa
43848,Napaeozapus insignis,North America
7730,Prinia maculosa,Africa
116798,Acrocephalus gracilirostris,Africa
93486,Afrogecko porphyreus,Africa
30487,Naja nivea,Africa
36281,Sceloporus clarkii,North America
113754,Takydromus wolteri,Asia
225751,Neotamias rufus,North America
30285,Elaphe sauromates,Europe
7868,Oriolus auratus,Africa
24994,Breviceps montanus,Africa
12305,Meliphaga lewinii,Oceania
41939,Ichneumia albicauda,Africa
7729,Prinia subflava,Africa
370402,Stomiopera unicolor,Oceania
27726,Salamandra salamandra,Europe
9351,Icterus chrysater,South America
423656,Lycalopex gymnocercus,South America
27413,Desmognathus monticola,North America
42228,Blastocerus dichotomus,South America
367550,Micropternus brachyurus,Asia
14610,Pycnonotus luteolus,Asia
69696,Chrysomus ruficapillus,South America
31866,Amphisbaena alba,South America
29351,Natrix maura,Europe
8909,Cotinga cayana,South America
26882,Hynobius leechii,Asia
4146,Oceanites oceanicus,North America
43523,Chlorocebus aethiops,Africa
30358,Dispholidus typus,Africa
144743,Carterornis leucotis,Oceania
29808,Lampropeltis alterna,North America
46994,Scapanus latimanus,North America
27431,Aneides ferreus,North America
41124,Chrotopterus auritus,North America
4665,Falco sparverius,North America
6023,Lesbia victoriae,South America
42722,Petaurus norfolcensis,Oceania
9626,Granatellus sallaei,North America
318695,Holcosus septemlineatus,South America
10506,Dacnis cayana,South America
27696,Rhyacotriton kezeri,North America
980019,Theristicus branickii,South America
855311,Nyctereutes procyonoides,Europe
558618,Crithagra sulphurata,Africa
7703,Malcorus pectoralis,Africa
73801,Plestiodon septentrionalis,North America
1289647,Chrysuronia versicolor,South America
604225,Pycnonotus plumosus,Asia
11586,Lepidocolaptes leucogaster,North America
145310,Spinus tristis,North America
13471,Acanthiza reguloides,Oceania
117180,Semnornis ramphastinus,South America
145338,Granatina granatina,Africa
27097,Eurycea multiplicata,North America
15035,Melanotis caerulescens,North America
5376,Butastur rufipennis,Africa
7562,Troglodytes aedon,North America
144243,Picus viridis,Europe
33002,Furcifer verrucosus,Africa
29508,Lycophidion capense,Africa
367535,Psilopogon zeylanicus,Asia
1368519,Saimiri cassiquiarensis,South America
33297,Cyrtodactylus quadrivirgatus,Asia
26555,Polypedates maculatus,Asia
9523,Melozone kieneri,North America
19055,Poicephalus meyeri,Africa
31226,Ctenophorus pictus,Oceania
98781,Ctenotus taeniolatus,Oceania
827392,Malurus assimilis,Oceania
10719,Trichothraupis melanops,South America
8076,Artamus minor,Oceania
43712,Dasyprocta punctata,North America
8217,Laniarius bicolor,Africa
7058,Aythya novaeseelandiae,Oceania
4191,Phoebetria palpebrata,Oceania
16765,Attila rufus,South America
42122,Phacochoerus africanus,Africa
1289480,Curruca hortensis,Europe
11970,Stelgidopteryx serripennis,North America
180001,Urocitellus parryii,North America
144298,Thamnolaea cinnamomeiventris,Africa
5231,Terathopius ecaudatus,Africa
8705,Pachyramphus castaneus,South America
42715,Acrobates pygmaeus,Oceania
2264,Coracias cyanogaster,Africa
144761,Heteromyias cinereifrons,Oceania
339693,Aegithalos glaucogularis,Asia
42223,Odocoileus virginianus,North America
12707,Turdus pilaris,Europe
12764,Turdus rufitorques,North America
16623,Empidonax atriceps,North America
24391,Duellmanohyla rufioculis,North America
17634,Campethera nubica,Africa
20535,Crypturellus soui,South America
26527,Rhacophorus reinwardtii,Asia
